,Id,data,element,value
0,MX000017004,1955-04-1,TMAX,310
1,MX000017004,1955-04-1,TMIN,150
2,MX000017004,1955-04-1,PRCP,0
15428,MX000017004,1955-04-10,PRCP,0
15427,MX000017004,1955-04-10,TMIN,170
15426,MX000017004,1955-04-10,TMAX,330
17140,MX000017004,1955-04-11,TMAX,330
17142,MX000017004,1955-04-11,PRCP,0
17141,MX000017004,1955-04-11,TMIN,170
18855,MX000017004,1955-04-12,TMIN,160
18856,MX000017004,1955-04-12,PRCP,0
18854,MX000017004,1955-04-12,TMAX,320
20570,MX000017004,1955-04-13,PRCP,0
20569,MX000017004,1955-04-13,TMIN,160
20568,MX000017004,1955-04-13,TMAX,310
22284,MX000017004,1955-04-14,PRCP,0
22283,MX000017004,1955-04-14,TMIN,160
22282,MX000017004,1955-04-14,TMAX,310
23998,MX000017004,1955-04-15,PRCP,0
23996,MX000017004,1955-04-15,TMAX,320
23997,MX000017004,1955-04-15,TMIN,170
25710,MX000017004,1955-04-16,TMAX,320
25711,MX000017004,1955-04-16,TMIN,170
25712,MX000017004,1955-04-16,PRCP,0
27425,MX000017004,1955-04-17,TMIN,160
27424,MX000017004,1955-04-17,TMAX,320
27426,MX000017004,1955-04-17,PRCP,0
29138,MX000017004,1955-04-18,TMAX,310
29139,MX000017004,1955-04-18,TMIN,160
29140,MX000017004,1955-04-18,PRCP,0
30852,MX000017004,1955-04-19,TMAX,310
30853,MX000017004,1955-04-19,TMIN,160
30854,MX000017004,1955-04-19,PRCP,0
1714,MX000017004,1955-04-2,TMAX,310
1715,MX000017004,1955-04-2,TMIN,150
1716,MX000017004,1955-04-2,PRCP,0
32567,MX000017004,1955-04-20,TMIN,160
32568,MX000017004,1955-04-20,PRCP,0
32566,MX000017004,1955-04-20,TMAX,320
34281,MX000017004,1955-04-21,TMIN,170
34282,MX000017004,1955-04-21,PRCP,0
34280,MX000017004,1955-04-21,TMAX,320
35994,MX000017004,1955-04-22,TMAX,330
35996,MX000017004,1955-04-22,PRCP,0
35995,MX000017004,1955-04-22,TMIN,170
